"After his release from prison, Brock Turner was beaten by a dildo-wielding flash mob.",false,
"Hillary Clinton cancelled a campaign event because of ""bizarre eye movements.""",False,
Brad Pitt died of suicide shortly after Angelina Jolie filed for divorce from him in September 2016.,FALSE,
"Hanan al-Hroub, whose husband was jailed for providing chemicals used in making bombs that killed Israelis, was invited to speak at a Clinton Global Initiative dinner.",true,
A man lost his testicles while attempting to fill a scuba tank with marijuana smoke.,FALSE,
A small business in Canada is offering jobs and free land to Americans looking to relocate in the event of a Donald Trump or Hillary Clinton presidency.,MIXTURE,
"""Liberals"" want to change the name of Cracker Barrel to ""Caucasian Barrel"" because otherwise it's racist.",false,
"Actor Brad Pitt authored ""A Secret of Love"" about his wife.",false,
"A federal gun law was passed in September 2016 which will prevent people from practicing ""open carry"" in all 50 states.",FALSE,
Hillary Clinton made a speech calling for Americans to respect and empathize with ISIS.,mixture,
"Luxottica controls 80 percent of eyewear brands, several major optometry chains, and the second-largest vision care insurer.",mixture,
Jennifer Aniston went on an angry tirade  on the 'Today Show' after she was asked about Brad Pitt and Angelina Jolie's divorce.,FALSE,
A photograph shows an African tribe performing a ritual to reconnect a misbehaving person with his good nature.,FALSE,
A video captures a large spider that survived inside a banana until it burst out of the peel by its own power.,False,
"The popular Gummi Bears (and similar fruit-flavored candies) are made with carnauba wax, the same ingredient that is found in car polish.",mixture,
"Syrian refugees in Europe are complaining about a lack of TVs, food quality, and ""slow internet.""",mostly false,
"The streets in some parts of Dhaka, Bangladesh were awash in bloody water after mass animal sacrifices took place on the Islamic holiday Eid al-Adha.",True,
A customer found a deep-fried rat head in a Popeyes Chicken meal in Harlem.,undetermined,
Dolly Parton publicly criticized Hillary Clinton and endorsed Donald Trump.,mixture,
A woman had a dead kitten surgically removed from her vagina after inserting it to simulate the feeling of being pregnant.,false,
Photographs show injuries sustained by a victim of the September 2016 St. Cloud stabbing,false,
"A WikiLeaks' DNC e-mail dump captured Democratic staffers referring to voters in Pennsylvania and Ohio as ""white trash"" and ""stupid.""",false,
The discovery of a vaccine for the autoimmune disease diabetes has been announced.,False,
President Obama has raised the Social Security retirement age to 73 in order to help refugees.,FALSE,
"NASA admitted that they were in contact with aliens but failed to officially disclose that information, presuming everyone already knew about it.",false,
The body of a homeless man found in San Diego has been identified as that of Elvis Presley.,false,
Wikileaks documents reveal Hillary Clinton was gravely injured in a plane crash during a secret mission to Iran in 2012.,false,
Pouring Coca-Cola onto a piece of raw pork will cause worms to come crawling out of the meat.,false,
All living former Presidents of the United States have urged Americans to not vote for Donald Trump.,MIXTURE,
A new government program gives all taxpaying Americans the right to collect ‘cash rebates’ on nearly every single purchase.,mostly false,
"Republican VP candidate Mike Pence doesn't want to be referred to as the vice president because he opposes use of the word ""vice"" on religious grounds.",FALSE,
"Carolina Panthers quarterback Cam Newton has been fined a total of $253, 552 for giving away footballs to fans.",FALSE,
"News photograph captions describe a black man ""looting"" and a white couple ""finding"" supplies in the wake of Hurricane Katrina.",true,
Comedian Jeff Foxworthy slammed Hillary Clinton and was attacked by liberals.,false,
"Hillary Clinton and/or members of her 2008 presidential campaign started the ""birther"" movement questioning whether Barack Obama was born in the U.S.",False,
The real Hillary Clinton has been dead since 1998 and was replaced with a clone.,False,
Young women are inserting vodka-soaked tampons as a furtive way of getting drunk.,false,
Chelsea Clinton's home is actually a medical care facility for Hillary Clinton in order to more effectively hide and treat her health problems.,false,
"An Image depicts a fatal collision involving a Chevy Suburban that recklessly merged ahead of a tractor-trailer, resulting in the death of an infant.",miscaptioned,
Stone Age tunnels have been found that stretch thousands of miles all the way from Scotland to Turkey.,mixture,
American legislator John Grumpart wants to ban Canadians from driving on U.S. roads.,FALSE,
"Hillary Clinton's campaign has been systemically overcharging small donors, including the elderly and poor people.",unproven,
"A Florida judge ruled that the government can ban vegetable gardens because they're ""ugly.""",mostly false,
Eleven states are introducing a truck curfew from 11PM until 6AM.,false,
A Certified Registration of Birth issued in Kenya documents that Barack Obama was born in that country.,false,
Tens of thousands of Russian troops are surrounding U.S. borders.,False,
A photograph shows a large group of people protesting against the construction of an oil pipeline in North Dakota.,FALSE,
"World Trade Center leaseholder Larry Silverstein bought terrorism insurance two months before 9/11, then collected double its value on the grounds that there were two attacks.",Mixture,
